id,store,tel,area,add
1,SOGO忠孝,02-27400167,台北,106 台北市大安區忠孝東路四段45號10樓
2,新光信義A11,02-27222639,台北,100 台北市松壽路11號4樓
3,新光南西,02-25113875,台北,104 台北市中山區南京西路12號8樓
4,新光站前,02-23894747,台北,100 台北市忠孝西路一段66號11樓
5,SOGO復興,02-89782027,台北,100 台北市忠孝東路三段300號6樓
6,SOGO天母,02-28359429,台北,111 台北市士林區中山北路六段77號5樓
7,遠東寶慶,02-23891676,台北,100 台北市中正區寶慶路32號8樓
8,遠東板橋,02-89647073,新北,220 新北市板橋區中山路一段152號6樓
9,板橋大遠百,02-89781798,新北,220 新北市板橋區新站路28號6樓
10,SOGO中壢,03-4275315,桃園,320 桃園市中壢區元化路357號6樓
11,新光桃園,03-3318443,桃園,330 桃園市桃園區大有路189號6樓
12,台茂MALL,03-2128489,桃園,338 桃園市蘆竹區南崁路一段112號B2-5
13,新竹巨城SOGO,03-6590769,新竹,300 新竹市中央路239號4樓
14,SOGO新竹,03-5257546,新竹,300 新竹市民族路2號8樓
15,新竹大遠百,03-5277865,新竹,300 新竹市東區西大路323號8樓
16,苗栗尚順MALL,037-558698,苗栗,351 苗栗縣中央路101號5F
17,新光台中,04-22598087,台中,407 台中市西屯區台灣大道三段301號12樓
18,廣三SOGO,04-23282974,台中,407 台中市西屯區台灣大道二段459號9樓
19,台中大遠百,04-22548722,台中,407 台中市西屯區台灣大道三段251號7樓
20,豐原太平洋,04-25253697,台中,420 台中市豐原區復興路2號6樓
21,嘉義新光,05-2949210,嘉義,600 嘉義市西區垂楊路726號6樓
22,嘉義耐斯,05-2780845,嘉義,600 嘉義市東區忠孝路600號4樓
23,新光西門,06-3030248,台南,700 台南市中西區西門路一段658號5樓
24,台南遠東,06-2756620,台南,701 台南市東區前鋒路210號5樓
25,新光中山,06-2296281,台南,700 台南市中西區中山路162號10樓
26,南紡MALL,06-3000807,台南,701 台南市東區中華東路一段366號3樓
27,大魯閣草衙道,07-2621232,高雄,806 高雄市前鎮區中山四路100號
28,高雄夢時代,07-8231978,高雄,806 高雄市前鎮區中華五路789號6樓
29,高雄漢神,07-2161604,高雄,801 高雄市前金區成功一路266-1號8樓
30,漢神巨蛋,07-5538233,高雄,813 高雄市左營區博愛二路777號8樓
31,新光左營,07-3504365,高雄,813 高雄市左營區高鐵路123號7樓
32,新光三多,07-3363108,高雄,806 高雄市前鎮區三多三路213號7樓
33,SOGO高雄,07-3355982,高雄,806 高雄市前鎮區三多三路217號9樓
