id,store,tel,area,add
1,長春門市,02-25037623,台北,104 台北市中山區長春路159號
2,士林一店,02-89788322,台北,111 台北市士林區中正路308號
3,復興一店,02-89785658,台北,105 台北市松山區復興北路15-5號
4,北新門市,02-29112926,新北,231 新北市新店區北新路2段95號1樓
5,新莊門市,02-29968274,新北,242 新北市新莊區幸福路725號1樓
6,羅東門市,03-9699025,宜蘭,265 宜蘭縣羅東鎮中正路166號
7,中壢門市,03-4260883,桃園,320 桃園市中壢區新生路91號
8,竹北門市,03-5584476,新竹,302 新竹縣竹北市縣政九路62號
9,苗栗門市,037-368089,苗栗,360 苗栗縣苗栗市中正路490號
10,沙鹿門市,04-26631966,台中,433 台中市沙鹿區中山路416號
11,崇德門市,04-22369223,台中,406 台中市北屯區文心路四段550號
12,文心門市,04-24734508,台中,408 台中市南屯區文心南路5號
13,東興門市,04-23289066,台中,403 台中市西區東興路三段82號
14,豐原門市,04-25158013,台中,420 台中市豐原區中正路216號
15,彰化門市,04-7288443,彰化,500 彰化縣彰化市曉陽路105號
16,和美門市,04-7562112,彰化,508 彰化縣和美鎮彰美路六段55號
17,員林門市,04-8379411,彰化,510 彰化縣員林市中正路456號
18,嘉義門市,05-2161877,嘉義,600 嘉義市西區中山路346號
19,永康門市,06-3000979,台南,710 台南市永康區中華路282號
20,台南門市,06-2897228,台南,701 台南市東區中華東路三段177號
21,鳳山門市,07-7463213,高雄,830 高雄市鳳山區中山路144號之1
22,大昌門市,07-3857869,高雄,807 高雄市三民區大昌二路99號1樓
23,澎湖門市,06-9268525,澎湖,880 澎湖縣馬公市光復路271號
24,花蓮門市,03-8362062,花蓮,970 花蓮縣花蓮市中山路369號1F
